state,next_state,distance
1,0,1
2,0,1
3,0,1
4,0,1
5,2,2
6,0,1
7,6,2
8,0,1
9,0,1
10,6,2
11,8,2
12,0,1
13,8,2
14,6,2
15,12,2
16,0,1
17,6,2
18,0,1
19,16,2
20,6,2
21,8,2
22,12,2
23,14,3
24,0,1
25,24,2
26,24,2
27,24,2
28,24,2
29,26,3
30,0,1
31,30,2
32,0,1
33,24,2
34,30,2
35,32,2
36,24,2
37,32,2
38,30,2
39,369,3
40,24,2
41,30,2
42,24,2
43,40,3
44,30,2
45,32,2
46,36,3
47,38,3
48,0,1
49,48,2
50,30,2
51,48,2
52,48,2
53,62,3
54,24,2
55,54,3
56,48,2
57,48,2
58,54,3
59,60,2
60,0,1
61,60,2
62,24,2
63,60,2
64,48,2
65,54,3
66,48,2
67,50,3
68,54,3
69,56,3
70,60,2
71,62,3
72,0,1
73,72,2
74,60,2
75,72,2
76,72,2
77,74,3
78,24,2
79,78,3
80,30,2
81,72,2
82,2176,3
83,80,3
84,48,2
85,80,3
86,54,3
87,84,3
88,72,2
89,78,3
90,72,2
91,9,2
92,16,2
93,33,3
94,376,3
95,41,3
96,18,2
97,3,2
98,378,3
99,9,2
100,16,2
101,88,3
102,18,2
103,16,2
104,18,2
105,33,3
106,40,3
107,41,3
108,4,2
109,51,3
110,28,3
111,41,3
112,64,3
113,45,3
114,90,3
115,70,3
116,22,3
117,35,3
118,70,3
119,59,3
120,0,1
121,120,2
122,120,2
123,120,2
124,120,2
125,122,3
126,120,2
127,126,3
128,120,2
129,120,2
130,126,3
131,128,3
132,120,2
133,128,3
134,126,3
135,132,3
136,120,2
137,126,3
138,120,2
139,136,3
140,126,3
141,128,3
142,132,3
143,134,4
144,0,1
145,144,2
146,144,2
147,144,2
148,144,2
149,146,3
150,0,1
151,150,2
152,120,2
153,144,2
154,150,2
155,152,3
156,144,2
157,3,2
158,150,2
159,156,3
160,144,2
161,150,2
162,144,2
163,160,3
164,150,2
165,152,3
166,156,3
167,158,3
168,120,2
169,168,3
170,150,2
171,9,2
172,168,3
173,182,3
174,144,2
175,174,3
176,2192,3
177,168,3
178,174,3
179,180,3
180,120,2
181,9,2
182,144,2
183,180,3
184,168,3
185,174,3
186,168,3
187,170,3
188,174,3
189,181,3
190,180,3
191,182,3
192,120,2
193,192,3
194,180,3
195,192,3
196,16,2
197,17,3
198,144,2
199,198,3
200,150,2
201,192,3
202,198,3
203,200,3
204,168,3
205,200,3
206,174,3
207,204,4
208,192,3
209,198,3
210,16,2
211,129,3
212,136,3
213,153,3
214,171,3
215,161,3
216,18,2
217,123,3
218,162,3
219,129,3
220,136,3
221,208,4
222,18,2
223,136,3
224,138,3
225,153,3
226,160,3
227,161,3
228,124,3
229,21,3
230,148,3
231,161,3
232,181,3
233,222,3
234,22,3
235,190,4
236,222,3
237,155,4
238,190,4
239,179,4
240,0,1
241,240,2
242,240,2
243,240,2
244,240,2
245,242,3
246,144,2
247,246,3
248,240,2
249,240,2
250,246,3
251,248,3
252,240,2
253,147,3
254,294,3
255,252,3
256,240,2
257,246,3
258,240,2
259,256,3
260,246,3
261,248,3
262,252,3
263,254,4
264,120,2
265,264,3
266,264,3
267,264,3
268,264,3
269,278,3
270,240,2
271,270,3
272,240,2
273,264,3
274,270,3
275,272,3
276,264,3
277,272,3
278,288,2
279,278,3
280,264,3
281,270,3
282,264,3
283,280,4
284,270,3
285,272,3
286,313,3
287,278,3
288,0,1
289,288,2
290,288,2
291,288,2
292,288,2
293,290,3
294,120,2
295,294,3
296,288,2
297,288,2
298,294,3
299,300,3
300,240,2
301,300,3
302,264,3
303,153,3
304,288,2
305,294,3
306,288,2
307,304,3
308,294,3
309,296,3
310,300,3
311,302,4
312,240,2
313,3,2
314,246,3
315,312,3
316,312,3
317,41,3
318,264,3
319,123,3
320,270,3
321,312,3
322,160,3
323,161,3
324,288,2
325,324,3
326,294,3
327,324,3
328,312,3
329,318,4
330,312,3
331,249,3
332,160,3
333,161,3
334,324,3
335,297,3
336,4,2
337,243,3
338,306,3
339,249,3
340,256,3
341,257,4
342,124,3
343,256,3
344,258,3
345,336,3
346,280,4
347,281,4
348,244,3
349,291,3
350,164,3
351,297,3
352,304,3
353,305,4
354,313,3
355,310,4
356,514,4
357,275,4
358,310,4
359,299,4
360,0,1
361,360,2
362,360,2
363,360,2
364,360,2
365,362,3
366,288,2
367,366,3
368,360,2
369,360,2
370,366,3
371,368,3
372,360,2
373,368,3
374,366,3
375,291,3
376,360,2
377,366,3
378,360,2
379,376,3
380,366,3
381,368,3
382,372,3
383,445,4
384,120,2
385,384,3
386,384,3
387,384,3
388,384,3
389,386,4
390,144,2
391,390,3
392,360,2
393,1689,3
394,390,3
395,392,3
396,1500,3
397,392,3
398,390,3
399,297,3
400,384,3
401,390,3
402,384,3
403,400,4
404,390,3
405,392,3
406,433,3
407,398,4
408,240,2
409,408,3
410,390,3
411,408,3
412,408,3
413,59,3
414,264,3
415,414,4
416,408,3
417,408,3
418,414,4
419,420,3
420,360,2
421,420,3
422,384,3
423,420,3
424,408,3
425,393,4
426,408,3
427,59,3
428,414,4
429,179,4
430,420,3
431,422,4
432,360,2
433,9,2
434,32,2
435,432,3
436,432,3
437,434,3
438,60,2
439,129,3
440,152,3
441,153,3
442,434,3
443,433,3
444,2220,3
445,249,3
446,182,3
447,434,3
448,304,3
449,438,3
450,432,3
451,369,3
452,376,3
453,393,4
454,304,3
455,305,4
456,378,3
457,363,3
458,306,3
459,369,3
460,376,3
461,377,4
462,378,3
463,376,3
464,154,3
465,393,4
466,1510,4
467,401,4
468,306,3
469,411,4
470,308,4
471,401,4
472,2230,4
473,405,4
474,70,3
475,458,4
476,190,4
477,191,4
478,310,4
479,419,4
480,72,2
481,3,2
482,8,2
483,9,2
484,16,2
485,17,3
486,2232,3
487,27,3
488,32,2
489,33,3
490,40,3
491,41,3
492,60,2
493,51,3
494,420,3
495,57,3
496,64,3
497,483,3
498,480,3
499,482,3
500,483,3
501,488,3
502,492,3
503,494,4
504,72,2
505,123,3
506,60,2
507,129,3
508,136,3
509,506,3
510,72,2
511,147,3
512,152,3
513,153,3
514,1696,3
515,161,3
516,180,3
517,75,3
518,182,3
519,506,3
520,504,3
521,510,3
522,504,3
523,506,3
524,510,3
525,512,4
526,516,4
527,518,4
528,12,2
529,243,3
530,248,3
531,249,3
532,256,3
533,257,4
534,132,3
535,267,4
536,182,3
537,528,3
538,2416,4
539,536,4
540,300,3
541,291,3
542,200,3
543,297,3
544,304,3
545,305,4
546,528,3
547,2251,4
548,514,4
549,536,4
550,540,4
551,542,4
552,432,3
553,363,3
554,324,3
555,369,3
556,376,3
557,3017,4
558,84,3
559,387,4
560,158,3
561,393,4
562,1528,4
563,401,4
564,324,3
565,411,4
566,278,3
567,417,4
568,2248,4
569,566,4
570,88,3
571,554,4
572,208,4
573,209,4
574,328,4
575,566,4
576,16,2
577,17,3
578,40,3
579,41,3
580,64,3
581,451,4
582,136,3
583,91,3
584,160,3
585,161,3
586,184,4
587,185,4
588,256,3
589,2251,4
590,2252,4
591,213,4
592,304,3
593,305,4
594,376,3
595,377,4
596,400,4
597,401,4
598,424,4
599,335,4
600,18,2
601,604,3
602,20,3
603,21,3
604,16,2
605,17,3
606,42,3
607,604,3
608,306,3
609,45,3
610,40,3
611,41,3
612,66,3
613,604,3
614,654,4
615,59,3
616,64,3
617,451,4
618,90,3
619,91,3
620,604,3
621,604,3
622,88,3
623,89,4
624,138,3
625,97,3
626,66,3
627,99,3
628,136,3
629,91,3
630,1698,3
631,97,3
632,164,3
633,1701,4
634,160,3
635,161,3
636,378,3
637,99,3
638,648,3
639,179,4
640,184,4
641,630,4
642,196,3
643,211,4
644,604,3
645,628,4
646,208,4
647,209,4
648,18,2
649,604,3
650,648,3
651,648,3
652,256,3
653,257,4
654,138,3
655,103,3
