state,next_state,distance
1,548,2
2,544,3
3,13,3
4,542,3
5,586,3
6,0,1
7,548,2
8,362,3
9,574,3
10,590,3
11,584,3
12,574,3
13,582,2
14,574,3
15,583,3
16,568,3
17,568,3
18,416,3
19,394,3
20,590,3
21,356,3
22,112,4
23,605,3
24,120,2
25,574,3
26,232,3
27,232,3
28,548,2
29,232,3
30,24,3
31,574,3
32,248,3
33,572,3
34,584,3
35,590,3
36,572,3
37,416,3
38,586,3
39,586,3
40,224,3
41,586,3
42,232,3
43,108,4
44,119,3
45,182,4
46,586,3
47,706,4
48,126,3
49,212,3
50,150,3
51,202,3
52,572,3
53,202,3
54,332,3
55,348,3
56,248,3
57,548,2
58,586,3
59,28,3
60,548,2
61,548,2
62,548,2
63,495,3
64,590,3
65,541,3
66,272,4
67,634,3
68,586,3
69,542,3
70,634,3
71,590,3
72,188,3
73,6,2
74,224,3
75,0,1
76,157,3
77,224,3
78,308,3
79,73,3
80,308,3
81,24,3
82,416,3
83,212,3
84,420,3
85,75,2
86,298,3
87,495,3
88,394,3
89,356,3
90,224,3
91,632,3
92,416,3
93,202,3
94,632,3
95,632,3
96,590,3
97,7,3
98,568,3
99,574,3
100,394,3
101,605,3
102,544,3
103,158,3
104,416,3
105,572,3
106,296,4
107,542,3
108,586,3
109,422,3
110,538,3
111,548,2
112,416,3
113,416,3
114,546,3
115,542,3
116,500,3
117,571,3
118,298,3
119,75,2
120,0,1
121,546,3
122,620,3
123,700,3
124,500,3
125,580,2
126,120,2
127,546,3
128,622,3
129,254,3
130,689,3
131,578,3
132,212,3
133,576,3
134,551,3
135,577,2
136,338,3
137,202,3
138,410,2
139,420,3
140,290,3
141,224,3
142,232,3
143,689,3
144,0,1
145,500,3
146,666,3
147,420,3
148,546,3
149,622,3
150,144,2
151,500,3
152,158,3
153,393,3
154,578,3
155,62,3
156,594,3
157,410,2
158,580,2
159,580,2
160,700,3
161,580,2
162,234,3
163,228,3
164,578,3
165,62,3
166,580,2
167,700,3
168,6,2
169,7,3
170,30,4
171,500,3
172,570,4
173,85,3
174,168,3
175,256,3
176,695,3
177,546,3
178,580,2
179,666,3
180,546,3
181,546,3
182,546,3
183,519,2
184,338,3
185,578,3
186,248,3
187,666,3
188,580,2
189,717,3
190,578,3
191,588,4
192,60,3
193,126,3
194,689,3
195,120,2
196,37,4
197,248,3
198,348,3
199,150,3
200,338,3
201,144,2
202,410,2
203,338,3
204,689,3
205,195,3
206,292,4
207,519,2
208,290,3
209,401,3
210,254,3
211,248,3
212,410,2
213,420,3
214,290,3
215,650,3
216,248,3
217,254,3
218,62,3
219,348,3
220,234,3
221,250,3
222,578,3
223,248,3
224,410,2
225,290,3
226,290,3
227,290,3
228,580,2
229,500,3
230,290,3
231,410,2
232,410,2
233,410,2
234,548,2
235,572,3
236,207,3
237,573,2
238,201,3
239,195,3
240,144,2
241,571,3
242,168,3
243,233,3
244,28,3
245,581,2
246,240,3
247,571,3
248,410,2
249,573,2
250,582,2
251,576,3
252,573,2
253,573,2
254,573,2
255,563,2
256,563,2
257,563,2
258,233,3
259,717,3
260,582,2
261,651,3
262,587,3
263,653,3
264,144,2
265,573,2
266,717,3
267,248,3
268,492,3
269,587,3
270,264,3
271,573,2
272,416,3
273,571,3
274,576,3
275,582,2
276,571,3
277,571,3
278,581,2
279,581,2
280,557,3
281,581,2
282,362,3
283,119,3
284,576,3
285,338,3
286,581,2
287,701,3
288,623,3
289,252,3
290,6,2
291,717,3
292,571,3
293,618,3
294,150,3
295,234,3
