state,next_state,distance
1,0,1
2,0,1
3,2,2
4,2,2
5,0,1
6,0,1
7,6,2
8,6,2
9,8,3
10,8,3
11,6,2
12,6,2
13,12,3
14,0,1
15,14,2
16,14,2
17,12,3
18,12,3
19,6,2
20,14,2
21,0,1
22,19,3
23,21,2
24,0,1
25,24,2
26,24,2
27,26,3
28,26,3
29,24,2
30,24,2
31,30,3
32,30,3
33,32,4
34,32,4
35,30,3
36,30,3
37,36,4
38,24,2
39,38,3
40,38,3
41,36,4
42,36,4
43,30,3
44,38,3
45,24,2
46,43,4
47,45,3
48,24,2
49,48,3
50,48,3
51,50,4
52,50,4
53,48,3
54,0,1
55,54,2
56,54,2
57,56,3
58,56,3
59,54,2
60,54,2
61,60,3
62,48,3
63,62,4
64,62,4
65,60,3
66,60,3
67,54,2
68,62,4
69,48,3
70,67,3
71,69,4
72,48,3
73,72,4
74,24,2
75,74,3
76,74,3
77,72,4
78,54,2
79,78,3
80,0,1
81,80,2
82,80,2
83,78,3
84,74,3
85,84,4
86,80,2
87,86,3
88,86,3
89,84,4
90,84,4
91,78,3
92,86,3
93,72,4
94,80,2
95,74,3
96,49,4
97,29,3
98,25,3
99,21,2
100,76,4
101,99,3
102,55,3
103,5,2
104,1,2
105,45,3
106,82,3
107,105,4
108,31,4
109,67,3
110,7,3
111,69,4
112,109,4
113,111,5
114,16,3
115,91,4
116,40,4
117,93,5
118,94,3
119,95,4
