name,size,epochs,mse,accuracy
2swap,4,103,0.00929200928658247,1.0
2swap,5,122,0.009564833715558052,1.0
2swap,6,184,0.009924503974616528,0.9888734353268428
2swap,7,406,0.00960487499833107,0.9944433419329232
nswap,4,152,0.009720453061163425,1.0
nswap,5,217,0.009229755960404873,0.9831932773109243
nswap,6,357,0.00981180276721716,0.9819193324061196
nswap,7,923,0.00986786000430584,0.9843222861678904
3swap,4,190,0.009353196248412132,1.0
3swap,5,259,0.009545977227389812,0.9915966386554622
3swap,6,931,0.00972033478319645,0.9916550764951322
3swap,7,2124,0.009755312465131283,0.984917642389363
2insert,4,86,0.009261514991521835,1.0
2insert,5,117,0.0089642945677042,1.0
2insert,6,203,0.009171665646135807,0.9930458970792768
2insert,7,672,0.009889639914035797,0.9896804921611431
ninsert,4,187,0.009881186299026012,1.0
ninsert,5,310,0.009490412659943104,1.0
ninsert,6,808,0.00937649141997099,0.9930458970792768
ninsert,7,2087,0.009821129031479359,0.9908712046040881
3insert,4,129,0.009653747081756592,1.0
3insert,5,240,0.009248494170606136,0.9915966386554622
3insert,6,1323,0.0099533936008811,0.9902642559109874
3insert,7,2114,0.009769088588654995,0.990672752530264
2reverse,4,82,0.009286939166486263,1.0
2reverse,5,103,0.00909388903528452,1.0
2reverse,6,214,0.009590133093297482,0.9888734353268428
2reverse,7,665,0.009795189835131168,0.9922603691208574
nreverse,4,142,0.00704541802406311,1.0
nreverse,5,467,0.009711727499961853,0.9915966386554622
nreverse,6,1932,0.009679767303168774,0.9888734353268428
nreverse,7,6422,0.00968968030065298,0.9890851359396706
3reverse,4,275,0.009955867193639278,1.0
3reverse,5,200,0.008739731274545193,1.0
3reverse,6,935,0.00997241586446762,0.9860917941585535
3reverse,7,2278,0.009950023144483566,0.9898789442349673
