strategy,size,epochs,mse,accuracy,network
insert-3,4,131,0.009549031965434551,1.0,MLP-3-300
insert-3,5,374,0.009795475751161575,1.0,MLP-3-300
insert-3,6,1163,0.009827269241213799,0.9888734353268428,MLP-3-300
insert-3,7,5219,0.009916342794895172,0.9904743004564398,MLP-3-300
insert-n,4,218,0.009776705875992775,0.9565217391304348,MLP-3-300
insert-n,5,445,0.009776930324733257,1.0,MLP-3-300
insert-n,6,1150,0.009748399257659912,0.9902642559109874,MLP-3-300
insert-n,7,3387,0.009734096005558968,0.9926572732685056,MLP-3-300
reverse-n,4,170,0.009904838167130947,1.0,MLP-3-300
reverse-n,5,386,0.009467553347349167,1.0,MLP-3-300
reverse-n,6,1764,0.009924349375069141,0.9944367176634215,MLP-3-300
reverse-n,7,6617,0.009967662394046783,0.9871006152014289,MLP-3-300
swap-2,4,84,0.009700283408164978,1.0,MLP-3-300
swap-2,5,179,0.009645468555390835,1.0,MLP-3-300
swap-2,6,534,0.009798106737434864,0.9916550764951322,MLP-3-300
swap-2,7,586,0.009927741251885891,0.9916650128993848,MLP-3-300
swap-3,4,106,0.009449170902371407,1.0,MLP-3-300
swap-3,5,202,0.00991593487560749,0.9831932773109243,MLP-3-300
swap-3,6,692,0.009750892408192158,0.9902642559109874,MLP-3-300
swap-3,7,4024,0.009697522968053818,0.9890851359396706,MLP-3-300
swap-n,4,112,0.00937770213931799,1.0,MLP-3-300
swap-n,5,241,0.009425783529877663,1.0,MLP-3-300
swap-n,6,1044,0.009988685138523579,0.9819193324061196,MLP-3-300
swap-n,7,3366,0.009942669421434402,0.9855129986108355,MLP-3-300
