strategy,size,epochs,mse,accuracy,network
swap-2,4,85,0.0248728767037391,0.9565217391304348,Epoch_MLP-3-300_Batch-ALL
swap-2,5,114,0.0176671799272298,0.9663865546218487,Epoch_MLP-3-300_Batch-ALL
swap-2,6,153,0.0195650979876518,0.952712100139082,Epoch_MLP-3-300_Batch-ALL
swap-2,7,348,0.0180412530899047,0.950188529470133,Epoch_MLP-3-300_Batch-ALL
swap-3,4,67,0.0088186766952276,0.9565217391304348,Epoch_MLP-3-300_Batch-ALL
swap-3,5,227,0.0201947893947362,0.957983193277311,Epoch_MLP-3-300_Batch-ALL
swap-3,6,609,0.0113793443888425,0.952712100139082,Epoch_MLP-3-300_Batch-ALL
swap-3,7,3495,0.0110011752694845,0.9519745981345504,Epoch_MLP-3-300_Batch-ALL
swap-4,4,93,0.0254663601517677,0.9565217391304348,Epoch_MLP-3-300_Batch-ALL
swap-4,5,181,0.0112704215571284,0.957983193277311,Epoch_MLP-3-300_Batch-ALL
swap-4,6,463,0.0198661014437675,0.9513212795549374,Epoch_MLP-3-300_Batch-ALL
swap-4,7,3152,0.011239125393331,0.9517761460607264,Epoch_MLP-3-300_Batch-ALL
swap-n,4,87,0.0177773181349039,0.9565217391304348,Epoch_MLP-3-300_Batch-ALL
swap-n,5,170,0.0112788574770092,0.957983193277311,Epoch_MLP-3-300_Batch-ALL
swap-n,6,248,0.0136807765811681,0.952712100139082,Epoch_MLP-3-300_Batch-ALL
swap-n,7,609,0.0174777079373598,0.9503869815439572,Epoch_MLP-3-300_Batch-ALL
reverse-4,4,102,0.0235613230615854,0.9565217391304348,Epoch_MLP-3-300_Batch-ALL
reverse-4,5,273,0.0142683209851384,0.957983193277311,Epoch_MLP-3-300_Batch-ALL
reverse-4,6,1293,0.0149906128644943,0.9554937413073712,Epoch_MLP-3-300_Batch-ALL
reverse-4,7,4688,0.016978109255433,0.9507838856916054,Epoch_MLP-3-300_Batch-ALL
reverse-n,4,139,0.0154956169426441,0.9565217391304348,Epoch_MLP-3-300_Batch-ALL
reverse-n,5,255,0.0219957306981086,0.9663865546218487,Epoch_MLP-3-300_Batch-ALL
reverse-n,6,1452,0.0170188173651695,0.956884561891516,Epoch_MLP-3-300_Batch-ALL
reverse-n,7,4689,0.0135485380887985,0.9511807898392538,Epoch_MLP-3-300_Batch-ALL
swap-2,5,1,5.31018590927124,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,2,12.973388671875,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,3,5.523015975952148,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,4,3.01088285446167,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,5,11.741144180297852,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,6,1.9694348573684692,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,7,2.2379860877990723,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,8,2.4431722164154053,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,9,2.3633930683135986,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,10,2.3195459842681885,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,11,2.3956353664398193,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,12,2.4263038635253906,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,13,2.3615665435791016,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,14,2.2733867168426514,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,15,2.2539408206939697,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,16,2.2695536613464355,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,17,2.2332165241241455,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,18,2.191162347793579,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,19,2.204343557357788,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,20,2.22308349609375,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,21,2.20691180229187,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,22,2.1846835613250732,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,23,2.1874983310699463,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,24,2.1777396202087402,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,25,2.140625476837158,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,26,2.121647357940674,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,27,2.1154978275299072,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,28,2.0962226390838623,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,29,2.0596189498901367,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,30,1.9694331884384155,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,31,1.8265331983566284,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,32,1.6426692008972168,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,33,1.420641541481018,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,34,1.239277958869934,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,35,1.1867297887802124,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,36,1.2296971082687378,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,37,1.1979448795318604,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,38,1.0852957963943481,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,39,0.9539873003959656,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,40,0.8477504849433899,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,41,0.8039548993110657,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,42,0.8189479112625122,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,43,0.8354655504226685,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,44,0.8236649036407471,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,45,0.7918615341186523,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,46,0.7518279552459717,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,47,0.7038425803184509,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,48,0.6553723216056824,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,49,0.6116471290588379,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,50,0.5843418836593628,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,51,0.5536394715309143,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,52,0.5253489017486572,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,53,0.49714288115501404,0.008403361344537815,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,54,0.4640796482563019,0.01680672268907563,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,55,0.43978965282440186,0.01680672268907563,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,56,0.41602420806884766,0.01680672268907563,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,57,0.39380550384521484,0.025210084033613446,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,58,0.36968424916267395,0.058823529411764705,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,59,0.34768009185791016,0.06722689075630252,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,60,0.31635910272598267,0.05042016806722689,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,61,0.2892424166202545,0.06722689075630252,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,62,0.26329565048217773,0.09243697478991597,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,63,0.24121776223182678,0.11764705882352941,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,64,0.22441329061985016,0.14285714285714285,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,65,0.20976506173610687,0.11764705882352941,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,66,0.19947263598442078,0.14285714285714285,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,67,0.19491776823997498,0.2184873949579832,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,68,0.18625475466251373,0.31092436974789917,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,69,0.17842817306518555,0.36134453781512604,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,70,0.17288987338542938,0.4117647058823529,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,71,0.16371069848537445,0.47058823529411764,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,72,0.1549113690853119,0.4789915966386555,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,73,0.14635694026947021,0.48739495798319327,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,74,0.13741172850131989,0.46218487394957986,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,75,0.1321379691362381,0.5126050420168067,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,76,0.1273869127035141,0.4957983193277311,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,77,0.12338664382696152,0.5294117647058824,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,78,0.12034998089075089,0.5126050420168067,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,79,0.11559661477804184,0.5294117647058824,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,80,0.11065305769443512,0.5546218487394958,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,81,0.10440660268068314,0.5966386554621849,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,82,0.09941398352384567,0.6134453781512605,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,83,0.09485506266355515,0.6302521008403361,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,84,0.09053576737642288,0.6386554621848739,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,85,0.08713675290346146,0.6050420168067226,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,86,0.08355279266834259,0.6470588235294118,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,87,0.0799858421087265,0.6890756302521008,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,88,0.07584386318922043,0.7142857142857143,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,89,0.07247509062290192,0.7226890756302521,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,90,0.0694604367017746,0.7142857142857143,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,91,0.06690237671136856,0.7394957983193278,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,92,0.06396891921758652,0.7815126050420168,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,93,0.06079414486885071,0.7647058823529411,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,94,0.05744283273816109,0.7815126050420168,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,95,0.05464582145214081,0.7983193277310925,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,96,0.05238961800932884,0.8067226890756303,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,97,0.050325457006692886,0.7815126050420168,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,98,0.048423558473587036,0.7983193277310925,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,99,0.04643184319138527,0.8235294117647058,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,100,0.04439403489232063,0.8151260504201681,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,101,0.04238494485616684,0.8151260504201681,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,102,0.040262628346681595,0.8403361344537815,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,103,0.03848929703235626,0.8319327731092437,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,104,0.03673315793275833,0.8403361344537815,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,105,0.03498994931578636,0.8571428571428571,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,106,0.033538345247507095,0.8571428571428571,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,107,0.032123029232025146,0.8739495798319328,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,108,0.030803240835666656,0.865546218487395,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,109,0.02951245754957199,0.865546218487395,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,110,0.02824637107551098,0.8823529411764706,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,111,0.026959780603647232,0.8907563025210085,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,112,0.025788839906454086,0.8907563025210085,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,113,0.02479182742536068,0.8907563025210085,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,114,0.02378108538687229,0.907563025210084,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,115,0.02297675423324108,0.8991596638655462,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,116,0.022193392738699913,0.8991596638655462,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,117,0.021451327949762344,0.907563025210084,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,118,0.020636677742004395,0.907563025210084,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,119,0.019928280264139175,0.9159663865546218,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,120,0.01927592232823372,0.9243697478991597,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,121,0.018650246784090996,0.9327731092436975,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,122,0.018000075593590736,0.9327731092436975,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,123,0.017375633120536804,0.9327731092436975,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,124,0.01683761365711689,0.9243697478991597,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,125,0.016526758670806885,0.9411764705882353,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,126,0.016239719465374947,0.9243697478991597,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,127,0.0159763190895319,0.9495798319327731,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,128,0.016190653666853905,0.9327731092436975,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,129,0.01611092872917652,0.9411764705882353,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,130,0.015550917945802212,0.9327731092436975,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,131,0.014264007098972797,0.9495798319327731,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,132,0.012965159490704536,0.9495798319327731,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,133,0.012477783486247063,0.9411764705882353,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,134,0.012636473402380943,0.9495798319327731,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,135,0.012821710668504238,0.9411764705882353,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,136,0.012357542291283607,0.9495798319327731,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,137,0.011390749365091324,0.957983193277311,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,138,0.010567348450422287,0.957983193277311,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,139,0.010374258272349834,0.9495798319327731,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,140,0.010537104681134224,0.957983193277311,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,141,0.010568591766059399,0.957983193277311,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,142,0.01014680601656437,0.9663865546218487,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,143,0.00948287732899189,0.957983193277311,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,144,0.008813821710646152,0.9747899159663865,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,145,0.008388658054172993,0.9663865546218487,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,146,0.008208714425563812,0.9747899159663865,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,147,0.008134840056300163,0.9663865546218487,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,148,0.008051656186580658,0.9747899159663865,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,149,0.00797803234308958,0.9663865546218487,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,150,0.007855815812945366,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,151,0.007552335970103741,0.9747899159663865,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,152,0.007244455628097057,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,153,0.00692035211250186,0.9831932773109243,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,154,0.006633564364165068,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,155,0.006336218677461147,0.9831932773109243,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,156,0.006112429779022932,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,157,0.005933898035436869,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,158,0.005737174302339554,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,159,0.005604753736406565,0.9831932773109243,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,160,0.005529243033379316,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,161,0.005485023837536573,0.9831932773109243,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,162,0.005586989689618349,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,163,0.005917270202189684,0.9831932773109243,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,164,0.0067851850762963295,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,165,0.00830641109496355,0.9663865546218487,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,166,0.011044356971979141,0.9663865546218487,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,167,0.01259248424321413,0.9663865546218487,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,168,0.011311130598187447,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,169,0.006437115836888552,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,170,0.004241744987666607,0.9831932773109243,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,171,0.006235078908503056,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,172,0.007719907909631729,0.9831932773109243,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,173,0.006244792137295008,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,174,0.003939954098314047,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,175,0.004608580376952887,0.9831932773109243,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,176,0.006193277891725302,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,177,0.0052672517485916615,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,178,0.00364440749399364,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,179,0.0037202138919383287,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,180,0.00478287972509861,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,181,0.004854993894696236,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,182,0.003653640625998378,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,183,0.003123515984043479,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,184,0.003719853702932596,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,185,0.004122226499021053,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,186,0.0035900091752409935,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,187,0.0029044023249298334,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,188,0.002915014512836933,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,189,0.0033456929959356785,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,190,0.0033280898351222277,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,191,0.002953031798824668,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,192,0.0026215845718979836,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,193,0.0026567920576781034,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,194,0.002848199801519513,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,195,0.0028330807108432055,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,196,0.002571652876213193,0.9915966386554622,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,197,0.0023439209908246994,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,198,0.0023248856887221336,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,199,0.0024319810327142477,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-2,5,200,0.0024465571623295546,1.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,1,5.440308094024658,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,2,15.363415718078613,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,3,5.168870449066162,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,4,4.557028770446777,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,5,4.463448524475098,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,6,2.0419774055480957,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,7,2.1472856998443604,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,8,1.6832586526870728,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,9,1.416268229484558,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,10,1.2138978242874146,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
swap-3,5,11,1.2001579999923706,0.0,Accuracy_MLP-3-300_Perm-5_Batch-ALL
